job_title,employer_name,rating,link,fragmented_desc,full-desc,skills,latitutde,longitude,city,country,pay_period,pay,job_id,image_url
Part Time Help Desk Intern - Onsite,Boulder Heavy Industries,3.6,"https://www.glassdoor.com/job-listing/part-time-help-desk-intern-onsite-boulder-heavy-industries-JV_IC1148112_KO0,33_KE34,58.htm?jl=1009188717080","['Install, maintain, analyze, troubleshoot, and repair computer systems, hardware, and computer peripherals. Be ready for any technical issue that arises in the…']","<p>BHI (Boulder Heavy Industries) is looking for a <b>IT Helpdesk Intern</b> to join our growing IT team.</p><p><i>BHI is an investment team that incubates advertising, media and e-commerce companies that are disrupting their industries. We provide strategic guidance, and all of the capabilities most startups can&rsquo;t afford.</i></p><p>You will handle IT support for our end-user technology environment across our internal business units. You&rsquo;ll have the opportunity to gain hands-on experience in Helpdesk Support and possibly cross train in other areas after initial training to meet business needs. This is a great learning opportunity for the current student in Information Technology!</p><p><b>PLEASE NOTE: </b></p><p><b>This is a Part-Time in-office position located in Boulder, CO. This position requires an equivalent of 3 full business days a week onsite. This is not a role that can be worked remotely. The exact schedule will be determined during the interview process and there is flexibility on our end to accommodate for class schedules. By applying for this role, you are affirming you can meet this requirement.</b></p><p><b>Also, this is not a summer-only internship. We are looking for someone to start right away and this position may last longer than the summer, depending on the candidate&rsquo;s availability and desire to continue the working arrangement.</b></p><p><b>We will be including learning and growth opportunities in the structure and focus of this role, so it will not be just a job, but an opportunity to expand knowledge and experience in the IT field.</b></p><p><b>A Day in the Life</b></p><p>You will work to troubleshoot and solve every day IT queries via email and in person. Here are some specifics on what your days might look like:</p><ul><li>Be ready for any technical issue that arises in the Helpdesk queue</li><li>Install, maintain, analyze, troubleshoot, and repair computer systems, hardware, and computer peripherals.</li><li>Provide user training on laptop use, printer connections, SaaS applications, and other similar items.</li><li>Assist with the laptop inventory and management</li><li>Perform maintenance on existing systems and applications</li><li>Contribute to current documentation associated with internal infrastructure, systems, and processes</li><li>Gain hands on experience with different areas of IT and present your journey with the team!</li></ul><p><b>If this sounds like a great learning opportunity to enhance your academic learning, we want to hear from you!</b></p><p><b>Here's what you need to get our attention</b></p><ul><li>In progress of completing a degree in Computer Science or Information Technology</li></ul><p><b>Here's what will make us call you for sure </b></p><ul><li>1-2 years hands-on experience in a <b>Helpdesk or IT troubleshooting</b> role</li><li>Strong <b>computer skills</b> and the ability to troubleshoot and diagnose problems</li><li>Familiarity with both <b>Windows </b>operating systems (primarily Windows 11) and <b>MacOS</b> (10.13+)</li><li>Maintains current knowledge of relevant technology</li><li>Strong interpersonal skills to help customers fix their issues and feel satisfied with the experience</li><li>Excellent at documentation</li><li>Desire to expand skillset</li></ul><p><b>NOT required but will definitely give you an edge!</b></p><ul><li><b>Certifications:</b> CompTIA A+, CompTIA Network +, CompTIA Cloud+</li><li>Exposure to a scripting language such as Bash or PowerShell</li><li>Some network experience</li></ul><p><b>Compensation DOE $17.00-18.00/hour</b></p><p><b>We anticipate this position being open until 3/31/2024. It may be closed earlier or kept open longer depending on the timing of our candidate selection process.</b></p><p><b>And if we haven't convinced you yet, here is why you'll want to be part of our team:</b></p><ul><li>Inspiring, collaborative &amp; SAFE office option in beautiful Boulder, CO where dogs are welcome!</li><li>Hourly employees receive a PTO accrual based on the number of hours worked.</li><li>Generous holidays including a reduced schedule between Christmas and New Years</li></ul><p><i>COME AS YOU ARE: your gender, your gods, your sex life, your skin color or your big shot uncle don't make a difference here. BHI LLC is a progressive and open-minded meritocracy. If you're smart and good at what you do, come as you are. </i></p><p>Job Types: Part-time, Internship</p><p>Pay: $17.00 - $18.00 per hour</p><p>Expected hours: 24 &ndash; 25 per week</p><p>Benefits:</p><ul><li>Flexible schedule</li><li>Paid time off</li></ul><p>Experience level:</p><ul><li>No experience needed</li></ul><p>Schedule:</p><ul><li>Monday to Friday</li></ul><p>Work Location: In person</p>","['Software troubleshooting', 'Windows', 'Computer networking', 'Mac OS', 'IT', 'Computer skills', 'PowerShell', 'Shell Scripting', 'Help desk']",40.015,-105.27,"Boulder, CO",United States,HOURLY,17.5,1009188717080,https://media.glassdoor.com/sql/1731184/boulder-heavy-industries-squarelogo-1566375517477.png
Intern-Applications Engineering,"Canon Nanotechnologies, Inc.",0,"https://www.glassdoor.com/job-listing/intern-applications-engineering-canon-nanotechnologies-inc-JV_IC1139761_KO0,31_KE32,58.htm?jl=1009216710637","['§ Proficiency in data analysis tools and programming languages for automation (e.g., Python, MATLAB, or other programming languages).']","<p><b>Position Summary</b></p><p>The Summer Intern will work as part of the applications team to help support Canon Nanotechnologies (CNT) imprint tools and technologies, with an emphasis on process development for semiconductor applications, and metrology support. The Summer Intern will focus on process automation, general tool use, and metrology support.</p><p><b>Essential Functions</b></p><p>1. Process automation, including writing scripts to automate imprint tool operations.</p><p>2. Automation for defect analysis, including JMP script optimization.</p><p>3. Design, execute, analyze, and report on experiments.</p><p><b>Qualifications</b></p><p><b>Education:</b></p><p>&sect; M.S. or PhD student in Electrical Engineering, Computer Engineering, Materials Science, Physics, or other relevant engineering or physical science discipline. Senior students are preferred.</p><p><b>Required Experience:</b></p><p>&sect; Proficiency in data analysis tools and programming languages for automation (e.g., Python, MATLAB, or other programming languages)</p><p>&sect; Knowledge of semiconductor processing is preferred.</p><p>&sect; Outstanding analytical and problem-solving skills are required.</p><p>&sect; Demonstrated strong organizational skills.</p><p><b>Physical Demands/Work Environment</b></p><p>Position requires continuous physical effort; intermittent and long-term work cycles; standing, walking, sitting, repetitive motion, and lifting up to 25 pounds unassisted. Lifting more than 25 lbs requires additional help. Employee may be required to work at a computer terminal for long periods of time. Employee will be able to hear and understand speech at normal levels and on the telephone. Position requires effective communication skills, verbal and written form. Mental alertness is a must. Employee may be exposed to atmospheric conditions, such as: dust, fumes, noise and varying temperatures. Employee is required to demonstrate continued knowledge of Haz/Com regulations and requirements. Must be able to work in a cleanroom environment, this includes wearing protective clothing.</p><p>Job Types: Full-time, Internship</p><p>Pay: $25.00 - $30.00 per hour</p><p>Experience level:</p><ul><li>No experience needed</li></ul><p>Schedule:</p><ul><li>8 hour shift</li><li>Monday to Friday</li></ul><p>Work Location: In person</p>","['MATLAB', 'Data analysis skills', 'Organizational skills', 'Communication skills', 'Python']",30.26694,-97.74278,"Austin, TX",United States,HOURLY,27.5,1009216710637,empty
Remote Software Intern/Junior Developer for AI Company,PureCode AI,0,"https://www.glassdoor.com/job-listing/remote-software-intern-junior-developer-for-ai-company-purecode-ai-JV_KO0,54_KE55,66.htm?jl=1009177030847","['Additionally, we are advancing front-end <b>software</b> development by using AI models to generate UI components for engineers, resulting in significant time savings…']","<p>Please visit our website before applying https://purecode.ai/ and make sure you're a fit and understand what our product does! All candidates will screened on their familiarity with the product and AI generator. Priority consideration will be granted to those who include a thoughtful observation about our product//ai generator to prove your interest!</p><p>PureCode AI, headquartered in Austin, Texas, is actively looking for a remote Junior Software Engineer to join our team. We specialize in cutting-edge Computer Vision &amp; Artificial Intelligence technologies and have created a developer tool that instantly converts design images into fully functional, ready to use, ReactJS code. Additionally, we are advancing front-end software development by using AI models to generate UI components for engineers, resulting in significant time savings and reduced manual work.<br/>PureCode has recently secured $3 million USD in funding from a Silicon Valley venture capitalist, setting the stage for significant growth and innovation. We remain dedicated to revolutionizing software development through AI-powered solutions and invite you to join us on this journey toward a more efficient and innovative industry. Become a part of our team and help shape the future of software development.</p><p>The Ideal Candidate<br/>&middot; Previous start-up experience is required.<br/>&middot; Excellent communication skills.<br/>&middot; Problem-solving skills with a proactive nature.<br/>&middot; Excellent interpersonal skills.<br/>Meticulous attention to detail.<br/>Impeccable organization skills.<br/>Strong people skills.<br/>Start-up mindset and flexibility &ndash; we are looking for someone who can come into the organization and improve the way we are doing things now. Not rewrite company processes with a lot of needless rules and requirements.</p><p>Benefits &amp; Offerings</p><p>&middot; Competitive salary and benefits package.</p><p>&middot; Culture focused on talent development with biannual promotion cycles and company-sponsored certifications.</p><p>&middot; Opportunity to work with cutting-edge technologies.</p><p>To Apply: Submit here on Indeed or via Michael@purecodesoftware.com along with your email. Priority consideration will be granted to those who include a thoughtful observation about our product//ai generator to prove your interest!</p><p>Job Types: Full-time, Part-time, Contract, Temporary, Internship</p><p>Pay: $25.00 - $40.00 per hour</p><p>Expected hours: 10 &ndash; 40 per week</p><p>Benefits:</p><ul><li>401(k)</li><li>Dental insurance</li><li>Health insurance</li></ul><p>Compensation package:</p><ul><li>Hourly pay</li><li>Performance bonus</li><li>Weekly pay</li></ul><p>Experience level:</p><ul><li>1 year</li><li>No experience needed</li><li>Under 1 year</li></ul><p>Schedule:</p><ul><li>Choose your own hours</li><li>No nights</li><li>No weekends</li><li>On call</li></ul><p>People with a criminal record are encouraged to apply</p><p>Work Location: Remote</p>","['React', 'Organizational skills', 'AI', 'Communication skills']",38,-97,,United States,HOURLY,32.5,1009177030847,empty
IT Analyst Intern,Prolec GE Shreveport,4,"https://www.glassdoor.com/job-listing/it-analyst-intern-prolec-ge-shreveport-JV_IC1150108_KO0,17_KE18,38.htm?jl=1009187014076","['Enrolled/attending college, seeking degree in IT related field (preferred but not required). Respond to help desk tickets involving computers, networked…']","<p>*This is an on-site position located in Shreveport, LA*</p><p>Prolec GE designs, manufactures, and sells products and solutions for the generation, transmission, and distribution of electric energy. With more than 50 years&rsquo; experience in the industry, Prolec GE is an important player in the Mexican market and a key participant in the rest of the Americas, with business units in Mexico, the United States, and Brazil.</p><p>Seeking a customer service oriented individual with good communication skills who is interested in an internship where they will experience a fast-paced IT support environment and gain hands-on experience with Window-based hardware and software.</p><p><b>Roles and Responsibilities</b></p><p>&middot; Install and update software on Window-based computers and other company devices.</p><p>&middot; Respond to help desk tickets involving computers, networked printers, network connectivity issues, and other technical issues.</p><p>&middot; Verify/update site inventory of all IT assets.</p><p>&middot; Perform tech refresh of multiple desktops and laptops, including:</p><p>o Installation of company image</p><p>o Installation of security software</p><p>o Domain registration</p><p>o Moving user&rsquo;s data</p><p>o Data wiping of old assets</p><p><b>Required Qualifications</b></p><p>&middot; 1+ years experience</p><p>&middot; Enrolled/attending college, seeking degree in IT related field (preferred but not required)</p><p>&middot; Strong communication skills</p><p>&middot; Able to work with minor supervision</p><p><b>Desired Characteristics</b></p><ul><li>Effective communication</li><li>Customer orientation</li><li>Passion for results</li></ul><p>Job Types: Part-time, Temp-to-hire</p><p>Schedule:</p><ul><li>Monday to Friday</li></ul><p>Work Location: In person</p>","['Customer service', 'Windows', 'Supervising experience', 'IT support', 'IT', 'Communication skills']",32.525,-93.75,"Shreveport, LA",United States,ANNUAL,50715,1009187014076,https://media.glassdoor.com/sql/2609026/prolec-ge-brasil-squarelogo-1559686984499.png
Technical Intern,GEV Wind Power,0,"https://www.glassdoor.com/job-listing/technical-intern-gev-wind-power-JV_IC1139993_KO0,16_KE17,31.htm?jl=1009158138376","['Able to pay attention to details. Able to understand basic composite material and wind blade knowledge. Computer literate, specifically in Microsoft Office, and…']","<p><b>Scope:</b> Wind Service projects technical reporting and documentation<br/><b>Duration:</b> March - September 2024<br/><b>Location:</b> Based in Fort Worth, Texas,<br/><b>Expected working time:</b> 30 hrs/week<br/>This is an intern position with exciting opportunities to learn the technical aspects of Renewable Energy and more specific with the demanding and unique blade repair aspect of this industry.<br/>*<br/>Requirements:*</p><ul><li>Able to pay attention to details</li><li>Able to understand basic composite material and wind blade knowledge</li><li>Computer literate, specifically in Microsoft Office, and Adobe</li><li>Able to manipulate documents editing/formatting with computer</li><li>Familiar with cloud base documentation</li><li>Able to understand and follow procedures</li></ul><p>Job Type: Internship</p>","['Computer literacy', 'Microsoft Office', 'Computer skills']",32.72528,-97.32056,"Fort Worth, TX",United States,ANNUAL,40000,1009158138376,empty
Cloud Support Intern,CloudSolved IT,0,"https://www.glassdoor.com/job-listing/cloud-support-intern-cloudsolved-it-JV_IC1154918_KO0,20_KE21,35.htm?jl=1009135576388","['CompTIA A+/Net+ certification or similar credentials will make you shine. 401(k) matching to build your nest egg. Tech-savvy, especially with Office 365.']","<p>Join the CloudSolved IT Family!</p><p>Are you enthusiastic about tech and looking for an opportunity to kickstart your career in IT? CloudSolved IT is on the hunt for an energetic and motivated professional to join our Cloud Service delivery team. We&rsquo;re not just any tech company; we&rsquo;re a vibrant, people-first workspace where your growth, happiness, and well-being are our top priorities.</p><p>Why You&rsquo;ll Love Collaborating with Us:</p><p>- Flex Culture: Embrace the freedom to work in the way that suits you best, with flexible arrangements that allow you to balance your personal and professional life.</p><p>- Grow As You Go: With retirement benefits and generous PTO/sick policies, we&rsquo;ve got your back now and in the future.</p><p>- Remote &amp; Connected: Dive into a role that&rsquo;s 25% remote post-training, keeping you engaged with weekly meetups to ensure you&rsquo;re always part of the crew.</p><p>- Health &amp; Wellness: Comprehensive health insurance to keep you in top shape, because we know a healthy team is a happy team.</p><p>Your Mission, Should You Choose to Accept:</p><p>- Be the hero our clients deserve, tackling service requests with speed and a smile.</p><p>- Prioritize and manage daily tickets like a boss, ensuring all our clients feel valued.</p><p>- Offer top-notch remote support, guiding our clients through their tech troubles with patience and expertise.</p><p>- Be the guardian of client accounts, from smooth onboarding to seamless offboarding.</p><p>- Collaborate with vendors to deliver exceptional service experiences.</p><p>- Keep our client database as sharp as your tech skills.</p><p>What Makes You a Perfect Fit:</p><p>- A meticulous, communication maestro with a knack for solving puzzles.</p><p>- 1+ year in the Help Desk/Customer Service arena, ready to share your wisdom and learn more.</p><p>- Strong written and verbal communication skills</p><p>- Tech-savvy, especially with Office 365</p><p>- An expert organizer with solid Microsoft Office skills.</p><p>- Quick to learn, eager to grow, and always ready for a tech challenge.</p><p>- CompTIA A+/Net+ certification or similar credentials will make you shine.</p><p>Position Details:</p><p>- Starting part-time with the option to go full-time after 180 days.</p><p>- Competitive Pay: $19.00 - $24.00 per hour</p><p>- Location: Office for duration of training with 1 day option to work from home per week after becoming a full-time employee.</p><p>Perks &amp; Benefits:</p><p>- 401(k) matching to build your nest egg.</p><p>o After 180 days of employment</p><p>- Flex schedules for work-life harmony.</p><p>o Flexible intern scheduling 15-20 hours a week to start</p><p>o Full Time Employment offers work from home 1 day a week guaranteed.</p><p>- Premium health insurance because your well-being is a priority.</p><p>o 60/40 Healthcare split for Full Time Employees</p><p>- Paid time off to recharge and relax.</p><p>o 3 sick days</p><p>o 3 vacation days</p><p>Schedule:</p><p>- Monday to Friday, with weekend adventures optional</p><p>Experience Desired:</p><p>- Customer Service: 1 year customer service (for better or worse!)</p><p>- Help desk guru: 1 year (bring those stories!)</p><p>- Windows wizardry: 1 year (show us the magic!)</p><p>Preferred Licenses/Certifications:</p><p>- CompTIA A+ (show us what you&rsquo;ve got!)</p><p>- CompTIA Cloud+ (cloud conquerors, we want you!)</p><p>- Bachelor&rsquo;s Degree (Bonus Points!)</p><p>Ready to CloudSolve Your Career? Apply Now!</p><p>Job Type: Internship</p><p>Pay: $19.00 - $24.00 per hour</p><p>Expected hours: 15 &ndash; 30 per week</p><p>Benefits:</p><ul><li>401(k)</li><li>401(k) matching</li><li>Flexible schedule</li><li>Health insurance</li><li>Paid time off</li><li>Tuition reimbursement</li></ul><p>Compensation package:</p><ul><li>Hourly pay</li><li>Overtime pay</li><li>Weekly pay</li></ul><p>Experience level:</p><ul><li>1 year</li></ul><p>Schedule:</p><ul><li>Monday to Friday</li></ul><p>Work Location: In person</p>","['Customer service', 'Windows', 'Microsoft Office', 'Communication skills', 'Help desk']",42.13972,-71.51667,"Milford, MA",United States,HOURLY,21.5,1009135576388,empty
"Summer Intern - Information Technology Department (Candidates must reside in the Roanoke, Va. area)",Prosperity Life Group,3.9,"https://www.glassdoor.com/job-listing/summer-intern-information-technology-department-candidates-must-reside-in-the-roanoke-va-area-prosperity-life-group-JV_IC1130242_KO0,93_KE94,115.htm?jl=1009180970790","['Responds to requests for technical assistance from Prosperity Personnel, which involves answering questions over phone calls or via our ITSM ticketing system;…']","<p>Summer Intern - Information Technology Department (Candidates must reside in the Roanoke, Va. area)Prosperity Life Roanoke, Virginia, United States (On-site)SaveApply</p><p>Prosperity Group Holdings, LP (&ldquo;Prosperity&rdquo;) is a holding company with three U.S. insurance entities: Shenandoah Life Insurance Company (&ldquo;SHEN&rdquo;), SBLI USA Life Insurance Company, Inc. (&ldquo;SBLI&rdquo;), S.USA Life Insurance Company, Inc. (&ldquo;S.USA&rdquo;); one Bermuda reinsurance entity, Prosperity Life Assurance Limited (&ldquo;PLAL&rdquo;); as well as an asset manager, Prosperity Asset Management, LLC (&ldquo;PAM&rdquo;).</p><p>Prosperity Life Insurance Group, LLC is seeking a summer intern to join the Information Technology team. This position provides a highly motivated individual with the opportunity to build an exceptional career within the Information Technology / insurance industry. The IT intern position offers knowledge of IT Programming Development and Information Systems, our businesses, and culture. The intern selected will gain experience, skills, support, and exposure needed to help launch their careers in this innovative sector. Interns typically assist with PC Support, Service Desk Support, Remote User Access, and Security Systems. Candidates should have strong oral and written communication skills. Paid internships last 10 &ndash; 12 weeks and typically begin in late-May/early-June and end in early/mid-August.</p><p>Under limited supervision, this position works with the end user community and IT Programming Development staff to support Information Systems which includes: PC Support, Service Desk support, Remote user Access, and Security Systems.</p><p>- Assist with troubleshooting of Prosperity Systems and providing End User Support</p><p>- Responds to requests for technical assistance from Prosperity Personnel, which involves answering questions over phone calls or via our ITSM ticketing system; directing inquiries to the appropriate personnel, and diagnosing and/or resolving technical problems.</p><p>- Responsible for Service Desk Support, including assisting the Level 1 and Level 2 Support teams. This can include in-office setups, imaging, boxing, shipping, receiving, hardware inventory organization, and office space cleanliness.</p><p>- Following up with clients to ensure that all systems are operating without fault.</p><p>- Assist with keeping Technical Services storage closets orderly and secure</p><p>- Assist in maintaining and updating documentation for the Service Desk</p><p>- Inspect and evaluate work done to ensure compliance with quality standards.</p><p>- Identify and recommend improvements to the quality and efficiency of our processes</p><p>&middot; Current student pursuing a Bachelor&rsquo;s or Master&rsquo;s degree in Information Technology, Information Systems, or other business-related major. Minimum two years of undergraduate degree completed</p><p>- If working on an AA, you must be in the middle of the trimester (1 year into a 2-year degree) spell out Associates degree</p><p>&middot; Sharp attention to detail</p><p>&middot; Strong analytical; organizational and problem-solving skills</p><p>&middot; Excited to take on new and challenging assignments</p><p>-- Must be able to communicate effectively</p><p>- Must be able to lift a minimum of 25 lbs</p><ul><li>Seniority LevelInternship</li><li>Industry</li><li>Insurance</li><li>Employment TypePart-time</li><li>Job Functions</li><li>Information Technology</li><li>Skills</li><li>Information Technology</li><li>Technical Support</li><li>Attention to Detail</li><li>Skill Development</li><li>Ticketing Systems</li><li>Troubleshooting</li><li>IT Service Management</li><li>Programming</li><li>Insurance Industr</li></ul><p>Job Types: Part-time, Internship</p><p>Pay: $15.00 - $18.00 per hour</p><p>Expected hours: No more than 38 per week</p><p>Ability to Relocate:</p><ul><li>Roanoke, VA: Relocate before starting work (Required)</li></ul><p>Work Location: In person</p>","['Technical support', 'Analysis skills', 'IT support', 'IT', 'Communication skills']",37.27083,-79.94167,"Roanoke, VA",United States,HOURLY,16.5,1009180970790,https://media.glassdoor.com/sql/1964417/prosperity-life-group-squarelogo-1519236089350.png
Technical Intern,SEMA Construction,0,"https://www.glassdoor.com/job-listing/technical-intern-sema-construction-JV_IC1154335_KO0,16_KE17,34.htm?jl=1008985631663","['Currently pursuing an undergraduate degree in engineering, construction management or related field. SEMA Construction, Inc., is looking for entry level Summer…']","<p>SEMA Construction, Inc., is looking for entry level Summer Interns and/or Co-Ops who are currently in the process of attaining a degree in engineering or construction management to be a part of our growing team. The Intern/Co-Op will be immersed in our projects located in Greater Central Florida. The candidate will assist Project Management in the direction of field responsibilities for both self-performing and subcontracted trades.</p><p>Major areas of responsibility include:</p><ul><li>Coordinating with superintendents and foreman to ensure project goals and expectations are met.</li><li>Assisting Project Manager to assure project compliance with SEMA&rsquo;s safety policies and OSHA safety standards.</li><li>Learning SEMA&rsquo;s culture and standard operating procedures.</li><li>Assist with schedule and coordinate with foreman and field personnel with daily schedules including materials, subcontractors, equipment, quality control, etc.</li><li>Inspect and approve all permanent material as it arrives to the job site in conjunction with project engineers/superintendents.</li><li>Assist project planning to include project definition, scope, resources, and schedule.</li><li>Gain the basic knowledge of heavy civil construction techniques, equipment, plans, specifications and cost control.</li><li>Assist with specialty formwork/falsework design and detailing at a project level.</li><li>Assist with quantity take-offs for verification and estimating.</li><li>Work closely with Project Engineers, Superintendents and Estimators assisting with their daily tasks/duties as needed.</li></ul><p>Requirements:</p><ul><li>Currently pursuing an undergraduate degree in engineering, construction management or related field.</li><li>Ability to work full time during the summer (approx. May-August).</li><li>Highly motivated, with a demonstrated passion for excellence and taking initiative.</li><li>Strong organization, time management and attention to detail.</li><li>Communicate and interact effectively and professionally with supervisors, employees and others individually or in a team environment.</li><li>Reliable transportation to and from work and willing to travel in Florida.</li></ul><p>SEMA Construction is an equal opportunity employer and does not discriminate based on race, color, religion, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, genetic information (including family medical history), political affiliation, military service, or other non-merit based factors.</p><p>Job Type: Internship</p><p>Pay: $15.00 - $20.00 per hour</p><p>Expected hours: 40 per week</p><p>Compensation package:</p><ul><li>Overtime pay</li></ul><p>Experience level:</p><ul><li>No experience needed</li><li>Under 1 year</li></ul><p>Schedule:</p><ul><li>Day shift</li></ul><p>Work Location: In person</p>",['Time management'],27.49861,-82.575,"Bradenton, FL",United States,HOURLY,17.5,1008985631663,empty
Front-End Web Design Intern,"PNY TECHNOLOGIES, INC.",3.4,"https://www.glassdoor.com/job-listing/front-end-web-design-intern-pny-technologies-inc-JV_IC1126931_KO0,27_KE28,48.htm?jl=1009216133127","['Assist in the creation of graphics for web design, banner advertising, and social media content. Currently enrolled or recent graduate in a Bachelor’s degree in…']","<p><b>MAIN FUNCTION:</b></p><ul><li>Maintain and update content on PNY sites (internet, intranet, extranet, and e-commerce sites)</li><li>Develop web content for PNY sites using HTML5, CSS, and JavaScript/jQuery</li><li>Assist in the creation of graphics for web design, banner advertising, and social media content</li></ul><p><b>QUALIFICATIONS:</b></p><ul><li>Seeking a detail-oriented, highly organized, front-end web developer with design skills</li><li>Currently enrolled or recent graduate in a Bachelor&rsquo;s degree in a related field</li><li>Familiarity with <b>HTML5</b>, <b>CSS</b>, and <b>JavaScript/jQuery</b> (must-have)</li><li>Familiarity with <b>graphic </b>and <b>web design</b> including Figma/XD, Photoshop, Illustrator, and InDesign is preferred</li><li>Candidates with a portfolio of work available for review will be given preference</li><li>Familiarity with branding guidelines is a plus</li><li>Knowledge of WordPress and other CMS platforms is a plus</li><li>Web accessibility knowledge is a plus</li><li>MAC and PC literate</li><li>Good written and oral communication skills, including the ability to communicate effectively in English</li><li>Ability to multi-task in a fast-paced environment</li><li>Must be a team player</li></ul><p><b>WORKING CONDITIONS: </b></p><p>The work environment characteristics are representative of those an employee encounters while performing the essential functions of this job.</p><p><b>KEY RELATIONSHIPS:</b></p><ul><li>Internal: Marketing/Product/Marcom and IT</li><li>External: Vendors to support/supplement in-house web design capabilities</li></ul><p><b>DUTIES AND RESPONSIBILITIES:</b></p><p>To perform this job successfully, the individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.</p><ul><li>Responsible for the design and content management of PNY&rsquo;s website (including building and updating website pages for PNY&rsquo;s internet, intranet/extranet, and e-commerce sites)</li><li>Responsible for front-end development for PNY&rsquo;s website using HTML, CSS, and JavaScript/jQuery</li><li>Design/produce digital content including, social media assets, banner ads, and web graphics</li><li>Interface with PNY Marketing/Product/Marcom and IT management to manage interactive communications programs and web content</li><li>Assist in other areas, as assigned</li></ul><p>Job Type: Internship</p><p>Pay: $16.00 per hour</p><p>Schedule:</p><ul><li>Day shift</li></ul><p>Ability to Commute:</p><ul><li>Parsippany, NJ 07054 (Required)</li></ul><p>Work Location: In person</p>","['Web accessibility', 'Web design', 'Adobe Photoshop', 'CSS', 'WordPress', 'Adobe Illustrator', 'English', 'JavaScript', 'Front-end development', 'Adobe InDesign', 'Figma', 'Communication skills', 'jQuery', 'HTML5']",40.85778,-74.42639,"Parsippany, NJ",United States,HOURLY,16,1009216133127,https://media.glassdoor.com/sql/4051/pny-technologies-squarelogo-1479938978084.png
Software Developer Intern,Meritize,4.9,"https://www.glassdoor.com/job-listing/software-developer-intern-meritize-JV_KO0,25_KE26,34.htm?jl=1009160223421","['A college degree or ongoing studies in a related field. Design, implement and manage <b>software</b> applications in a variety of object-oriented programming languages…']","<p><b>Software Developer Intern: Summer (May 20th - August 9th, Monday-Friday, 8:30am-5:30pm CT)</b></p><p><b>About Us</b></p><p>Meritize is an education lender that uses an individual&rsquo;s academic, military, and work achievements to enhance credit evaluation and expand funding for skills-based education. The Company&rsquo;s proprietary merit-based lending program goes beyond traditional underwriting to leverage individual academic and experiential data, increasing access to educational funding and improving outcomes. The Meritize platform promotes the growth and development of skills-based careers on behalf of students, educators, and employers through innovative funding solutions, skills-building programs, and career success services.</p><p><b>Key Responsibilities</b></p><p>This is a 12-week, full-time summer internship. This position will be reporting to the Manager, Software Development. The primary responsibilities of the Software Developer Intern include:</p><ul><li>Design, implement and manage software applications in a variety of object-oriented programming languages/technologies (i.e., Java, Ruby, etc.)</li><li>Write automated tests at the unit, integration, and end-to-end level with guidance from peers</li><li>Pair program for 6 hours per day with other developers and actively communicate with Product Managers and Designers in a cross functional team</li></ul><p><b>Key Qualifications</b></p><p>To be eligible for this internship, applicants must have:</p><ul><li>A college degree or ongoing studies in a related field</li><li>Be a senior or greater in college (preferred)</li><li>Strong critical thinking, collaboration, and communication skills</li></ul><p>Meritize is an equal-opportunity employer.</p><p>Job Types: Full-time, Internship</p><p>Pay: $27.00 per hour</p><p>Expected hours: 40 per week</p><p>Benefits:</p><ul><li>Work from home</li></ul><p>Experience level:</p><ul><li>Under 1 year</li></ul><p>Work Location: Remote</p>","['Java', 'OOP', 'Ruby', 'Communication skills']",38,-97,,United States,HOURLY,27,1009160223421,https://media.glassdoor.com/sql/2887951/meritize-squarelogo-1583751801396.png
